"","token","skills_count","cuny_count","pct_skills_snippets","pct_cuny_courses"
"679","science skill set",2,0,0.02,0
"680","skill set",4,0,0.04,0
"681","skill set often",1,0,0.01,0
"682","set",4,0,0.04,0
"683","set often",1,0,0.01,0
"684","set often cited",1,0,0.01,0
"685","often",4,1,0.04,0.0526315789473684
"686","often cited",1,0,0.01,0
"687","often cited classic",1,0,0.01,0
"688","cited",1,0,0.01,0
"689","cited classic",1,0,0.01,0
"690","cited classic different",1,0,0.01,0
"691","classic",2,0,0.02,0
"692","classic different",1,0,0.01,0
"693","classic different opinions",1,0,0.01,0
"694","different opinions",1,0,0.01,0
"695","different opinions versatility",1,0,0.01,0
"696","opinions",1,0,0.01,0
"697","opinions versatility",1,0,0.01,0
"698","opinions versatility role",1,0,0.01,0
"699","versatility",1,0,0.01,0
"700","versatility role",1,0,0.01,0
"701","versatility role spawned",1,0,0.01,0
"702","role",2,1,0.02,0.0526315789473684
"703","role spawned",1,0,0.01,0
"704","role spawned data",1,0,0.01,0
"705","spawned",1,0,0.01,0
"706","spawned data",1,0,0.01,0
"707","spawned data scientist",1,0,0.01,0
"708","data scientist can",2,0,0.02,0
"709","scientist can",2,0,0.02,0
"710","scientist can expect",1,0,0.01,0
"711","can expect",1,0,0.01,0
"712","can expect use",1,0,0.01,0
"713","expect",2,0,0.02,0
"714","expect use",1,0,0.01,0
"715","expect use skills",1,0,0.01,0
"716","use skills",1,0,0.01,0
"717","use skills likely",1,0,0.01,0
"718","skills likely",1,0,0.01,0
"719","skills likely career",1,0,0.01,0
"720","likely",1,0,0.01,0
"721","likely career",1,0,0.01,0
"722","likely career outlining",1,0,0.01,0
"723","career",4,0,0.04,0
"724","career outlining",1,0,0.01,0
"725","career outlining sql",1,0,0.01,0
"726","outlining",1,0,0.01,0
"727","outlining sql",1,0,0.01,0
"728","outlining sql python",1,0,0.01,0
"729","sql python",1,0,0.01,0
"730","sql python r",1,0,0.01,0
"731","jupyter notebook visualizations",1,0,0.01,0
"732","notebook visualizations",1,0,0.01,0
"733","notebook visualizations now",1,0,0.01,0
"734","visualizations now",1,0,0.01,0
"735","visualizations now data",1,0,0.01,0
"736","now",2,0,0.02,0
"737","now data",1,0,0.01,0
"738","now data science",1,0,0.01,0
"739","data science field",2,1,0.02,0.0526315789473684
